library,version,sign,date
org.jibx.schema.org.opentravel._2012A.touractivity,1.0.9-SNAPSHOT,-,2013-02-02
org.jibx.schema.org.opentravel._2012A.touractivity,1.0.9-SNAPSHOT,-,2013-01-31
org.jibx.schema.org.opentravel._2012A.touractivity,1.1.4,-,2014-12-31
org.jibx.schema.org.opentravel._2012A.touractivity,1.0.6,+,2012-09-04
org.jibx.schema.org.opentravel._2012A.touractivity,1.1.4,-,2014-12-30
org.jibx.schema.org.opentravel._2012A.touractivity,1.0.6-SNAPSHOT,-,2012-09-04
org.jibx.schema.org.opentravel._2012A.touractivity,1.1.0-SNAPSHOT,-,2013-02-19
org.jibx.schema.org.opentravel._2012A.touractivity,1.0.6-SNAPSHOT,+,2012-08-31
org.jibx.schema.org.opentravel._2012A.touractivity,1.1.5-SNAPSHOT,-,2014-12-30
org.jibx.schema.org.opentravel._2012A.touractivity,1.1.5-SNAPSHOT,-,2014-12-31
org.jibx.schema.org.opentravel._2012A.touractivity,1.0.6,-,2013-01-31
org.jibx.schema.org.opentravel._2012A.touractivity,1.0.8,+,2012-11-11
org.jibx.schema.org.opentravel._2012A.touractivity,1.0.6,-,2012-09-04
org.jibx.schema.org.opentravel._2012A.touractivity,1.1.0,-,2013-03-04
org.jibx.schema.org.opentravel._2012A.touractivity,1.0.8-SNAPSHOT,-,2012-11-11
org.jibx.schema.org.opentravel._2012A.touractivity,1.1.4-SNAPSHOT,-,2014-12-30
org.jibx.schema.org.opentravel._2012A.touractivity,1.1.4-SNAPSHOT,-,2014-12-31
org.jibx.schema.org.opentravel._2012A.touractivity,1.1.1-SNAPSHOT,-,2013-03-04
org.jibx.schema.org.opentravel._2012A.touractivity,1.1.0-SNAPSHOT,-,2013-03-04
org.jibx.schema.org.opentravel._2012A.touractivity,1.0.8,-,2012-11-25
org.jibx.schema.org.opentravel._2012A.touractivity,1.0.9,-,2013-02-02
org.jibx.schema.org.opentravel._2012A.touractivity,1.0.10-SNAPSHOT,-,2013-02-01
org.jibx.schema.org.opentravel._2012A.touractivity,1.0.10-SNAPSHOT,-,2013-02-02
org.jibx.schema.org.opentravel._2012A.touractivity,1.0.9,-,2013-02-01
org.jibx.schema.org.opentravel._2012A.touractivity,1.0.7,-,2012-11-11
org.jibx.schema.org.opentravel._2012A.touractivity,1.0.7-SNAPSHOT,-,2012-11-07
