library,version,sign,date
yuicompressor,2.3.6,+,2010-08-17
yuicompressor,2.3.6,-,2010-11-09
yuicompressor,2.3.6,+,2010-11-09
dspace-services-api,2.0.0-SNAPSHOT,+,2009-05-11
dspace-services-api,2.0.2,-,2010-12-16
dspace-services-api,2.0.0-alpha,-,2010-03-02
dspace-services-api,2.0.0-alpha,+,2010-03-02
dspace-services-api,2.0.0-SNAPSHOT,-,2009-10-03
dspace-services-api,2.0.2-SNAPSHOT,-,2010-11-09
dspace-services-api,2.0.4-SNAPSHOT,-,2011-08-26
dspace-services-api,2.0.1,-,2010-10-20
dspace-services-api,2.0.0,-,2010-03-02
dspace-services-api,2.0.0-alpha,-,2010-10-20
dspace-services-api,2.0.0-alpha,+,2009-10-03
dspace-services-api,2.0.0-alpha,-,2009-10-10
dspace-services-utils,2.0.0-SNAPSHOT,+,2009-05-11
dspace-services-utils,2.0.2,-,2010-12-16
dspace-services-utils,2.0.0-SNAPSHOT,-,2009-10-03
dspace-services-utils,2.0.4-SNAPSHOT,-,2011-08-26
dspace-services-utils,2.0.1,-,2010-10-20
dspace-services-utils,2.0.0,-,2010-03-02
dspace-services-utils,2.0.0-alpha,-,2009-10-10
dspace-stats,1.8.0-SNAPSHOT,-,2011-08-26
dspace-stats,1.7.0,-,2010-12-16
dspace-stats,1.7.0-rc2,-,2010-12-13
dspace-stats,1.6.0-rc2,-,2010-02-10
dspace-stats,1.6.0,-,2010-03-02
dspace-stats,1.6.0-SNAPSHOT,-,2009-12-04
dspace-stats,1.6.0-SNAPSHOT,-,2009-10-10
dspace-stats,1.8.0.ASYNC-SNAPSHOT,-,2011-06-02
dspace-stats,1.7.0-rc3-SNAPSHOT,-,2010-12-13
dspace-stats,1.7.0-rc2-SNAPSHOT,-,2010-12-13
dspace-stats,1.7.0-rc2-SNAPSHOT,-,2010-11-12
dspace-stats,1.7.0-SNAPSHOT,-,2010-11-09
dspace-stats,1.6.1-SNAPSHOT,-,2010-03-02
dspace-stats,1.6.0-rc1,-,2009-12-04
dspace-stats,1.6.0-SNAPSHOT,-,2010-02-10
dspace-stats,1.7.1-SNAPSHOT,-,2010-12-16
dspace-stats,1.7.0-rc1,-,2010-11-12
dspace-stats,1.6.0-SNAPSHOT,+,2009-10-03
dspace-services-impl,2.0.0-SNAPSHOT,+,2009-05-11
dspace-services-impl,2.0.2,-,2010-12-16
dspace-services-impl,2.0.0-SNAPSHOT,-,2009-10-03
dspace-services-impl,2.0.4-SNAPSHOT,-,2011-08-26
dspace-services-impl,2.0.1,-,2010-10-20
dspace-services-impl,2.0.0,-,2010-03-02
dspace-services-impl,2.0.0-alpha,-,2009-10-10
dspace-api,1.8.0.ASYNC-SNAPSHOT,-,2011-06-02
dspace-api,1.7.0-rc3-SNAPSHOT,-,2010-12-13
dspace-api,1.7.0-rc2-SNAPSHOT,-,2010-11-12
dspace-api,1.5-SNAPSHOT,-,2007-07-11
dspace-api,1.7.0-SNAPSHOT,-,2010-11-09
dspace-api,1.6.0-rc1,-,2009-12-04
dspace-api,1.6.0-SNAPSHOT,-,2010-02-10
dspace-api,1.7.0-rc1,-,2010-11-12
dspace-api,1.7.0-SNAPSHOT,+,2010-03-02
dspace-api,1.7.0-SNAPSHOT,+,2010-10-20
dspace-api,1.8.0-SNAPSHOT,-,2011-08-26
dspace-api,1.7.0,-,2010-12-16
dspace-api,1.7.0-rc2,-,2010-12-13
dspace-api,1.6.0-rc2,-,2010-02-10
dspace-api,1.6.0,-,2010-03-02
dspace-api,1.6.0-SNAPSHOT,-,2009-12-04
dspace-api,1.6.0-SNAPSHOT,-,2009-10-10
dspace-api,1.7.0-rc2-SNAPSHOT,-,2010-12-13
dspace-api,1.6.1-SNAPSHOT,-,2010-03-02
dspace-api,1.5-SNAPSHOT,+,2007-07-07
dspace-api,1.7.1-SNAPSHOT,-,2010-12-16
dspace-api,1.6.0-SNAPSHOT,+,2009-10-03
dspace-api-lang,[1.5.0.0,1.6.0.0),+,2009-04-08
dspace-api-lang,[1.7.0.1,1.7.9.9),-,2011-08-26
dspace-api-lang,[1.5.0.0,1.6.0.0),-,2009-04-07
dspace-api-lang,[1.5.0.0,1.6.0.0),+,2009-04-07
dspace-api-lang,1.5-SNAPSHOT,-,2008-03-11
dspace-api-lang,1.5-SNAPSHOT,+,2008-02-13
dspace-api-lang,[1.6.0.0,1.7.0.0),-,2010-10-20
dspace-api-lang,[1.5.0.0,1.6.0.0),-,2009-04-08
dspace-api-lang,[1.6.0.0,1.8.0.0),-,2010-11-09
dspace-api-lang,[1.5.0.0,1.6.0.0),-,2009-10-10
dspace-xmlui-wing,1.8.0-SNAPSHOT,-,2011-08-26
dspace-xmlui-wing,1.7.0,-,2010-12-16
dspace-xmlui-wing,1.7.0-rc2,-,2010-12-13
dspace-xmlui-wing,1.6.0-rc2,-,2010-02-10
dspace-xmlui-wing,1.6.0,-,2010-03-02
dspace-xmlui-wing,1.6.0-SNAPSHOT,-,2009-12-04
dspace-xmlui-wing,1.6.0-SNAPSHOT,-,2009-10-10
dspace-xmlui-wing,1.8.0.ASYNC-SNAPSHOT,-,2011-06-02
dspace-xmlui-wing,1.7.0-rc3-SNAPSHOT,-,2010-12-13
dspace-xmlui-wing,1.7.0-rc2-SNAPSHOT,-,2010-12-13
dspace-xmlui-wing,1.7.0-rc2-SNAPSHOT,-,2010-11-12
dspace-xmlui-wing,1.5-SNAPSHOT,-,2007-07-11
dspace-xmlui-wing,1.7.0-SNAPSHOT,-,2010-11-09
dspace-xmlui-wing,1.6.1-SNAPSHOT,-,2010-03-02
dspace-xmlui-wing,1.6.0-rc1,-,2009-12-04
dspace-xmlui-wing,1.6.0-SNAPSHOT,-,2010-02-10
dspace-xmlui-wing,1.7.1-SNAPSHOT,-,2010-12-16
dspace-xmlui-wing,1.7.0-rc1,-,2010-11-12
servlet-api,2.3,-,2007-11-12
servlet-api,2.3,-,2007-11-10
servlet-api,2.3,+,2009-04-08
servlet-api,2.3,+,2009-04-07
servlet-api,2.3,+,2007-11-05
servlet-api,2.3,+,2007-07-11
servlet-api,2.3,+,2010-10-20
servlet-api,2.3,+,2010-11-09
servlet-api,2.3,-,2007-11-05
servlet-api,2.3,+,2007-11-12
servlet-api,2.3,+,2011-08-26
servlet-api,2.4,-,2010-03-02
servlet-api,2.3,-,2009-05-11
servlet-api,2.3,-,2007-07-11
servlet-api,2.3,-,2009-04-08
servlet-api,2.3,+,2008-05-23
servlet-api,2.3,-,2009-04-07
servlet-api,2.3,-,2008-02-13
servlet-api,2.4,+,2009-10-03
servlet-api,2.3,+,2007-09-08
servlet-api,2.3,+,2009-03-05
servlet-api,2.4,-,2010-11-09
servlet-api,2.4,+,2010-03-02
servlet-api,2.3,+,2009-05-11
servlet-api,2.3,-,2010-11-09
