library,version,sign,date
kite-data-hive,0.17.1-SNAPSHOT,-,2014-10-10
kite-data-hive,1.1.0,-,2015-06-16
kite-data-hive,0.16.1-SNAPSHOT,-,2014-10-01
kite-data-hive,1.0.1-SNAPSHOT,-,2015-03-23
kite-data-hive,0.17.2-SNAPSHOT,-,2014-12-29
kite-data-hive,0.16.1-SNAPSHOT,-,2014-10-10
kite-data-hive,0.18.0,-,2015-02-11
kite-data-hive,1.0.0,-,2015-02-24
kite-data-hive,0.17.1,-,2014-12-09
kite-data-hive,0.17.1-SNAPSHOT,-,2014-12-09
kite-data-hive,0.17.1-SNAPSHOT,-,2014-10-28
kite-data-hive,0.17.0,-,2014-10-10
kite-data-hive,0.18.1-SNAPSHOT,-,2015-02-11
kite-data-hive,0.17.2-SNAPSHOT,-,2014-12-09
kite-data-core,0.17.1-SNAPSHOT,-,2014-10-10
kite-data-core,0.18.0,-,2015-02-11
kite-data-core,0.17.1-SNAPSHOT,-,2014-10-28
kite-data-core,0.17.0,-,2014-10-10
kite-data-core,1.0.1-SNAPSHOT,-,2015-03-23
kite-data-core,0.17.2-SNAPSHOT,-,2014-12-29
kite-data-core,0.17.2-SNAPSHOT,-,2014-12-09
kite-data-core,1.1.0,-,2015-06-16
kite-data-core,0.16.1-SNAPSHOT,-,2014-10-01
kite-data-core,0.16.1-SNAPSHOT,-,2014-10-10
kite-data-core,0.17.1,-,2014-12-09
kite-data-core,0.17.1-SNAPSHOT,-,2014-12-09
kite-data-core,0.18.1-SNAPSHOT,-,2015-02-11
kite-data-core,1.0.0,-,2015-02-24
kite-data-mapreduce,0.17.1-SNAPSHOT,-,2014-10-10
kite-data-mapreduce,1.1.0,-,2015-06-16
kite-data-mapreduce,0.16.1-SNAPSHOT,-,2014-10-01
kite-data-mapreduce,1.0.1-SNAPSHOT,-,2015-03-23
kite-data-mapreduce,0.17.2-SNAPSHOT,-,2014-12-29
kite-data-mapreduce,0.16.1-SNAPSHOT,-,2014-10-10
kite-data-mapreduce,0.18.0,-,2015-02-11
kite-data-mapreduce,1.0.0,-,2015-02-24
kite-data-mapreduce,0.17.1,-,2014-12-09
kite-data-mapreduce,0.17.1-SNAPSHOT,-,2014-12-09
kite-data-mapreduce,0.17.1-SNAPSHOT,-,2014-10-28
kite-data-mapreduce,0.17.0,-,2014-10-10
kite-data-mapreduce,0.18.1-SNAPSHOT,-,2015-02-11
kite-data-mapreduce,0.17.2-SNAPSHOT,-,2014-12-09
kite-data-hbase,0.17.1-SNAPSHOT,-,2014-10-10
kite-data-hbase,1.0.1-SNAPSHOT,-,2015-03-23
kite-data-hbase,0.17.2-SNAPSHOT,-,2014-12-29
kite-data-hbase,0.17.2-SNAPSHOT,-,2014-12-09
kite-data-hbase,1.1.0,-,2015-06-16
kite-data-hbase,0.18.0,-,2015-02-11
kite-data-hbase,0.17.1-SNAPSHOT,-,2014-10-28
kite-data-hbase,0.16.1-SNAPSHOT,-,2014-10-01
kite-data-hbase,0.16.1-SNAPSHOT,-,2014-10-10
kite-data-hbase,0.17.1,-,2014-12-09
kite-data-hbase,0.17.1-SNAPSHOT,-,2014-12-09
kite-data-hbase,0.18.1-SNAPSHOT,-,2015-02-11
kite-data-hbase,1.0.0,-,2015-02-24
kite-data-hbase,0.17.0,-,2014-10-10
