library,version,sign,date
kite-data-hive,0.17.1-SNAPSHOT,-,2014-10-10
kite-data-hive,1.1.0,-,2015-06-16
kite-data-hive,0.16.1-SNAPSHOT,-,2014-10-10
kite-data-hive,0.18.0,-,2015-02-11
kite-data-hive,1.0.0,-,2015-02-24
kite-data-hive,0.17.1,-,2014-12-09
kite-data-hive,1.0.1-SNAPSHOT,-,2015-02-24
kite-data-hive,0.17.1-SNAPSHOT,-,2014-12-09
kite-data-hive,0.16.1-SNAPSHOT,-,2014-09-10
kite-data-hive,0.17.0,-,2014-10-10
kite-data-hive,0.18.1-SNAPSHOT,-,2015-02-11
kite-data-hive,0.17.2-SNAPSHOT,-,2014-12-09
kite-data-core,0.17.1-SNAPSHOT,-,2014-10-10
kite-data-core,0.17.2-SNAPSHOT,-,2014-12-09
kite-data-core,1.1.0,-,2015-06-16
kite-data-core,0.18.0,-,2015-02-11
kite-data-core,1.0.1-SNAPSHOT,-,2015-02-24
kite-data-core,0.16.1-SNAPSHOT,-,2014-09-10
kite-data-core,0.15.1-SNAPSHOT,-,2014-07-15
kite-data-core,0.16.1-SNAPSHOT,-,2014-10-10
kite-data-core,0.17.1,-,2014-12-09
kite-data-core,0.14.2-SNAPSHOT,-,2014-07-08
kite-data-core,0.17.1-SNAPSHOT,-,2014-12-09
kite-data-core,0.18.1-SNAPSHOT,-,2015-02-11
kite-data-core,0.15.0,-,2014-07-15
kite-data-core,1.0.0,-,2015-02-24
kite-data-core,0.16.0,+,2014-07-15
kite-data-core,0.17.0,-,2014-10-10
kite-data-core,0.16.0,-,2014-08-21
kite-data-mapreduce,0.17.1-SNAPSHOT,-,2014-10-10
kite-data-mapreduce,0.15.0,-,2014-07-15
kite-data-mapreduce,0.15.1-SNAPSHOT,-,2014-07-15
kite-data-mapreduce,1.1.0,-,2015-06-16
kite-data-mapreduce,0.16.1-SNAPSHOT,-,2014-10-10
kite-data-mapreduce,0.18.0,-,2015-02-11
kite-data-mapreduce,1.0.0,-,2015-02-24
kite-data-mapreduce,0.17.1,-,2014-12-09
kite-data-mapreduce,1.0.1-SNAPSHOT,-,2015-02-24
kite-data-mapreduce,0.14.2-SNAPSHOT,-,2014-07-08
kite-data-mapreduce,0.16.0,+,2014-07-15
kite-data-mapreduce,0.17.1-SNAPSHOT,-,2014-12-09
kite-data-mapreduce,0.16.1-SNAPSHOT,-,2014-09-10
kite-data-mapreduce,0.17.0,-,2014-10-10
kite-data-mapreduce,0.18.1-SNAPSHOT,-,2015-02-11
kite-data-mapreduce,0.17.2-SNAPSHOT,-,2014-12-09
kite-data-mapreduce,0.16.0,-,2014-08-21
kite-data-hbase,0.17.1-SNAPSHOT,-,2014-10-10
kite-data-hbase,0.15.1-SNAPSHOT,-,2014-07-15
kite-data-hbase,0.16.1-SNAPSHOT,-,2014-10-10
kite-data-hbase,0.17.1,-,2014-12-09
kite-data-hbase,0.14.2-SNAPSHOT,-,2014-07-08
kite-data-hbase,0.17.1-SNAPSHOT,-,2014-12-09
kite-data-hbase,0.18.1-SNAPSHOT,-,2015-02-11
kite-data-hbase,0.17.2-SNAPSHOT,-,2014-12-09
kite-data-hbase,0.15.0,-,2014-07-15
kite-data-hbase,1.1.0,-,2015-06-16
kite-data-hbase,0.18.0,-,2015-02-11
kite-data-hbase,1.0.0,-,2015-02-24
kite-data-hbase,1.0.1-SNAPSHOT,-,2015-02-24
kite-data-hbase,0.16.0,+,2014-07-15
kite-data-hbase,0.16.1-SNAPSHOT,-,2014-09-10
kite-data-hbase,0.17.0,-,2014-10-10
kite-data-hbase,0.16.0,-,2014-08-21
