library,version,sign,date
annotations,2.0.1,+,2013-03-26
annotations,2.0.1,-,2013-03-26
annotations,7.0.3,-,2013-03-26
android-common-views,1.1.7-SNAPSHOT,-,2013-11-18
android-common-views,1.1.3-SNAPSHOT,-,2013-07-02
android-common-views,1.1.15-SNAPSHOT,-,2014-02-19
android-common-views,1.1.13,-,2014-02-17
android-common-views,1.1.0-SNAPSHOT,+,2013-03-26
android-common-views,1.1.12-SNAPSHOT,-,2014-02-17
android-common-views,1.1.0-SNAPSHOT,-,2013-05-20
android-common-views,1.1.2,-,2013-07-02
android-common-views,1.1.11,-,2013-12-13
android-common-views,1.1.9-SNAPSHOT,-,2013-11-29
android-common-views,1.1.0-SNAPSHOT,-,2013-03-26
android-common-views,1.1.1-SNAPSHOT,-,2013-05-20
android-common-views,1.1.5-SNAPSHOT,-,2013-11-04
android-common-views,1.1.6-SNAPSHOT,-,2013-11-17
android-common-views,1.1.11-SNAPSHOT,-,2013-12-08
android-common-views,1.1.18-SNAPSHOT,-,2015-01-20
android-common-views,1.1.14-SNAPSHOT,-,2014-02-17
android-common-views,1.1.18,-,2015-01-20
android-common-views,1.1.4-SNAPSHOT,-,2013-10-10
android-common-views,1.1.9,-,2013-12-05
android-common-views,1.1.4,-,2013-11-04
android-common-views,1.1.0,-,2013-05-20
android-common-views,1.1.6,-,2013-11-18
android-common-views,1.1.16,-,2014-09-10
android-common-views,1.1.16-SNAPSHOT,-,2014-07-26
android-common-views,1.1.3,-,2013-10-10
android-common-views,1.1.8,-,2013-11-29
android-common-views,1.1.17-SNAPSHOT,-,2015-01-19
android-common-views,1.1.10,-,2013-12-08
android-common-views,1.1.5,-,2013-11-17
android-common-views,1.1.15,-,2014-07-26
android-common-views,1.1.17,-,2015-01-19
android-common-views,1.1.2-SNAPSHOT,-,2013-07-01
android-common-views,1.1.8-SNAPSHOT,-,2013-11-28
android-common-views,1.1.7,-,2013-11-28
android-common-views,1.1.10-SNAPSHOT,-,2013-12-05
android-common-views,1.1.1,-,2013-07-01
android-common-views,1.1.14,-,2014-02-19
android-common-core,1.1.7-SNAPSHOT,-,2013-11-18
android-common-core,1.1.3-SNAPSHOT,-,2013-07-02
android-common-core,1.1.15-SNAPSHOT,-,2014-02-19
android-common-core,1.1.0-SNAPSHOT,+,2013-03-26
android-common-core,1.1.11,-,2013-12-13
android-common-core,1.1.9-SNAPSHOT,-,2013-11-29
android-common-core,1.1.0-SNAPSHOT,-,2013-03-26
android-common-core,1.1.5-SNAPSHOT,-,2013-11-04
android-common-core,1.1.6-SNAPSHOT,-,2013-11-17
android-common-core,1.1.14-SNAPSHOT,-,2014-02-17
android-common-core,1.1.4,-,2013-11-04
android-common-core,1.1.0,-,2013-05-20
android-common-core,1.1.12-SNAPSHOT,-,2013-12-13
android-common-core,1.1.16-SNAPSHOT,-,2014-07-26
android-common-core,1.1.8,-,2013-11-29
android-common-core,1.1.17-SNAPSHOT,-,2015-01-19
android-common-core,1.1.10,-,2013-12-08
android-common-core,1.1.15,-,2014-07-26
android-common-core,1.1.17,-,2015-01-19
android-common-core,1.1.2-SNAPSHOT,-,2013-07-01
android-common-core,1.1.7,-,2013-11-28
android-common-core,1.1.1,-,2013-07-01
android-common-core,1.1.14,-,2014-02-19
android-common-core,1.1.13,-,2014-02-17
android-common-core,1.1.12-SNAPSHOT,-,2014-02-17
android-common-core,1.1.0-SNAPSHOT,-,2013-05-20
android-common-core,1.1.2,-,2013-07-02
android-common-core,1.1.1-SNAPSHOT,-,2013-05-20
android-common-core,1.1.11-SNAPSHOT,-,2013-12-08
android-common-core,1.1.18-SNAPSHOT,-,2015-01-20
android-common-core,1.1.18,-,2015-01-20
android-common-core,1.1.4-SNAPSHOT,-,2013-10-10
android-common-core,1.1.9,-,2013-12-05
android-common-core,1.1.6,-,2013-11-18
android-common-core,1.1.16,-,2014-09-10
android-common-core,1.1.3,-,2013-10-10
android-common-core,1.1.13-SNAPSHOT,-,2014-02-17
android-common-core,1.1.5,-,2013-11-17
android-common-core,1.1.8-SNAPSHOT,-,2013-11-28
android-common-core,1.1.10-SNAPSHOT,-,2013-12-05
