library,version,sign,date
picketlink-idm-hibernate,1.3.0.Alpha02-SNAPSHOT,-,2011-05-18
picketlink-idm-hibernate,1.3.0.Alpha02,-,2011-05-18
picketlink-idm-hibernate,1.3.0.Alpha09,-,2011-10-20
picketlink-idm-hibernate,1.3.0.Alpha01-SNAPSHOT,-,2011-03-03
picketlink-idm-hibernate,1.2.0.CR02-SNAPSHOT ,-,2011-02-04
picketlink-idm-hibernate,1.2.0.CR02-SNAPSHOT,-,2011-02-04
picketlink-idm-hibernate,1.3.0.Alpha08,-,2011-10-06
picketlink-idm-hibernate,1.3.1.CR01-SNAPSHOT,-,2011-11-01
picketlink-idm-hibernate,1.3.0.Alpha09-SNAPSHOT,-,2011-10-06
picketlink-idm-hibernate,1.3.0.Alpha05-SNAPSHOT,-,2011-09-13
picketlink-idm-hibernate,1.3.0.Alpha07-SNAPSHOT,-,2011-10-01
picketlink-idm-hibernate,1.3.1.GA,-,2012-03-09
picketlink-idm-hibernate,1.3.1.CR02-SNAPSHOT,-,2012-02-17
picketlink-idm-hibernate,1.3.0.GA,-,2011-11-01
picketlink-idm-hibernate,1.3.0.Alpha01,-,2011-05-18
picketlink-idm-hibernate,1.4.0.M03-SNAPSHOT,-,2012-10-04
picketlink-idm-hibernate,1.3.0.Alpha01,-,2011-05-17
picketlink-idm-hibernate,1.3.0.Alpha08-SNAPSHOT,-,2011-10-06
picketlink-idm-hibernate,1.3.0.CR01-SNAPSHOT,-,2011-10-20
picketlink-idm-hibernate,1.3.0.Alpha07,-,2011-10-06
picketlink-idm-hibernate,1.2.0.CR01-SNAPSHOT,-,2011-02-04
picketlink-idm-hibernate,1.3.0.Alpha04,-,2011-09-13
picketlink-idm-hibernate,1.3.1.CR01,-,2012-02-17
picketlink-idm-hibernate,1.3.0.Alpha03-SNAPSHOT,-,2011-05-18
picketlink-idm-hibernate,1.3.0.Alpha01-SNAPSHOT,-,2011-05-17
picketlink-idm-hibernate,1.4.0.M02-SNAPSHOT,-,2012-10-04
picketlink-idm-hibernate,1.4.0.M01-SNAPSHOT,-,2012-07-27
picketlink-idm-hibernate,1.3.0.Alpha03,-,2011-05-18
picketlink-idm-hibernate,1.2.0.CR03-SNAPSHOT ,-,2011-02-04
picketlink-idm-hibernate,1.3.2.CR01-SNAPSHOT,-,2012-03-09
picketlink-idm-hibernate,1.3.0.Alpha06,-,2011-10-01
picketlink-idm-hibernate,1.2.0.CR02-SNAPSHOT ,+,2011-02-04
